Term,Coef,Std_Err,z,p_value,CI_lower,CI_upper
Intercept,0.305029737655472,0.013718857495249114,22.234339686165907,1.5990385662355379e-109,0.2781412710557463,0.33191820425519764
Phase[T.M1],-0.023037486330592265,0.008563001778937051,-2.6903516927041875,0.007137675304652125,-0.0398206614168613,-0.00625431124432323
Phase[T.M2],-0.014264081123714113,0.008563001778937053,-1.665780469507826,0.09575714750871302,-0.03104725620998315,0.0025190939625549247
Phase[T.T1],-0.018213772415669113,0.008563001778937044,-2.12703125444522,0.03341748641249884,-0.03499694750193813,-0.0014305973294000927
Phase[T.T2],-0.01662246877061887,0.008563001778937047,-1.9411964635469536,0.05223445192039591,-0.03340564385688789,0.00016070631565015883
Phase[T.P1],-0.019723509087316293,0.008563001778937054,-2.303340533670264,0.021259690732179395,-0.03650668417358534,-0.002940334001047252
Phase[T.P2],0.015432881355172972,0.008563001778937051,1.8022746874973437,0.07150219896360296,-0.0013502937310960628,0.03221605644144201
Group[T.LTM],-0.02902964670665235,0.018257290344955927,-1.5900304020017175,0.11182795233760445,-0.06481327823805683,0.006753984824752129
Group[T.STM],-0.01943988878495589,0.019148407657401258,-1.0152222123515304,0.309999914628903,-0.05697007815475334,0.018090300584841557
Network[T.Frontal-Temporal],0.002685133372138255,0.0036060294204535376,0.7446232570671983,0.456499504278327,-0.004382554419142523,0.009752821163419032
Network[T.Intra-Frontal],-0.02030121534482845,0.003606029420453537,-5.629797480208891,1.804213410650991e-08,-0.027368903136109228,-0.013233527553547675
Network[T.Intra-Parietal],0.04146959924933583,0.0036060294204535376,11.500072354961574,1.3180489257966594e-30,0.03440191145805505,0.04853728704061661
Phase[T.M1]:Group[T.LTM],0.03191094267059844,0.011546349243263691,2.763725745539505,0.005714554794865649,0.0092805140008803,0.054541371340316586
Phase[T.M2]:Group[T.LTM],0.0030622160539062913,0.011546349243263691,0.2652107596427358,0.7908471066088777,-0.01956821261581185,0.025692644723624435
Phase[T.T1]:Group[T.LTM],0.0070713686558119,0.011546349243263684,0.6124332901100704,0.5402511220164232,-0.01555906001390623,0.02970179732553003
Phase[T.T2]:Group[T.LTM],0.026970282694583184,0.011546349243263691,2.3358277258344704,0.01950022197683396,0.004339854024865041,0.04960071136430133
Phase[T.P1]:Group[T.LTM],0.021888770944249646,0.011546349243263695,1.8957308914780893,0.057995638291230105,-0.0007416577254685044,0.044519199613967796
Phase[T.P2]:Group[T.LTM],0.003587138255668455,0.011546349243263695,0.310672939133661,0.7560492713805063,-0.019043290414049695,0.026217566925386605
Phase[T.M1]:Group[T.STM],0.022375814376226655,0.01210991325039769,1.8477270574578089,0.06464183767895047,-0.0013591794504572013,0.04611080820291051
Phase[T.M2]:Group[T.STM],0.010033548552894279,0.012109913250397692,0.8285400849229679,0.40736470353061516,-0.013701445273789577,0.03376854237957813
Phase[T.T1]:Group[T.STM],0.017680295128114178,0.012109913250397687,1.4599852833407836,0.14429411859999844,-0.006054698698569672,0.04141528895479803
Phase[T.T2]:Group[T.STM],-0.008927167871416975,0.01210991325039769,-0.7371785153889361,0.46101379694793165,-0.03266216169810083,0.014807825955266881
Phase[T.P1]:Group[T.STM],0.02803498383817166,0.012109913250397692,2.315044150894391,0.020610515960854982,0.004299990011487804,0.05176997766485551
Phase[T.P2]:Group[T.STM],0.008444990741575219,0.012109913250397692,0.6973617867409483,0.48557640974174177,-0.015290003085108637,0.032179984568259073
Group Var,1.0001245089801964,0.2920665051054251,3.4243040249315437,0.0006163762277404737,0.4276846778830794,1.5725643400773135
